Qty;Value;Device;Package;Parts;Description;CONRAD;REICHELT;VALUE;VOELKNER
1;;I2C_STANDARD;1X04;I2C;SparkFun has standardized on a pinout for all I2C based sensor breakouts.;;MPE 087-1-004;;
5;;PINHD-1X4;1X04;ENCODER, SW, SWITCHES, USB_ENC, USB_EXT;PIN HEADER;;MPE 087-1-004;;
1;;PINHD-1X7;1X07;SOLDER_IRON;PIN HEADER;;-;;
1;+;2,54/1,0;2,2;VCC;THROUGH-HOLE PAD;;-;;
1;-;2,54/1,0;2,2;GND;THROUGH-HOLE PAD;;-;;
1;100R 0.1%;R-EU_M1206;M1206;R33;RESISTOR, European symbol;;SPR-1206 100;;
2;100k;R-EU_R1206;R1206;R1, R22;RESISTOR, European symbol;;SMD 1/4W 100K;;
2;100k 0.1%;R-EU_M1206;M1206;R18, R19;RESISTOR, European symbol;;SPR-1206 100K;;
13;100n;C-EUC1206;C1206;C1, C2, C3, C4, C6, C10, C12, C13, C15, C16, C17, C23, C32;CAPACITOR, European symbol;;X7R-G1206 100N;;
16;10k;R-EU_R1206;R1206;R10, R12, R20, R24, R31, R32, R35, R36, R39, R40, R43, R44, R45, R46, R50, R51;RESISTOR, European symbol;;SMD 1/4W 10K;;
2;10k 0.1%;R-EU_M1206;M1206;R34, R37;RESISTOR, European symbol;;SPR-1206 10,0K;;
10;10n;C-EUC1206;C1206;C20, C21, C22, C24, C25, C26, C27, C28, C29, C30;CAPACITOR, European symbol;;X7R-G1206 10N;;
2;10u;INDUCTOR1206H*;INDUCTOR-1206;L1, L2;Inductors;;L-1812AF 10åµ;;
1;12V;ZENER-DIODESOT23;SOT23;D3;Z-Diode;;SMD ZD 12;;
1;12k 0.1%;R-EU_R1206;R1206;R16;RESISTOR, European symbol;;SPR-1206 12,0K;;
1;16Mhz;CRYSTALHC49US;HC49US;Y1;Various standard crystals. Proven footprints.;;16,0000-HC49U-S;;
1;1M;R-EU_R1206;R1206;R13;RESISTOR, European symbol;;SMD 1/4W 1,0M;;
1;1N4148;DIODE-MINIMELF;MINIMELF;D1;DIODE;;1N 4148 SMD;;
1;1k 0.1%;R-EU_M1206;M1206;R15;RESISTOR, European symbol;;SPR-1206 1,00K;;
1;1n;C-EUC1206;C1206;C18;CAPACITOR, European symbol;;NPO-G1206 1,0N;;
1;1u;C-EUC1206;C1206;C5;CAPACITOR, European symbol;;X7R-G1206 1,0/50;;
3;22R;R-EU_R1206;R1206;R4, R5, R49;RESISTOR, European symbol;;SMD 1/4W 22;;
2;22p;C-EUC1206;C1206;C8, C9;CAPACITOR, European symbol;;NPO-G1206 22P;;
3;2k2;R-EU_R1206;R1206;R2, R7, R26;RESISTOR, European symbol;;SMD 1/4W 2,2K;;
2;2k2 0.1%;R-EU_M1206;M1206;R21, R25;RESISTOR, European symbol;;SPR-1206 2,20K;;
3;330u;CAP_POLPTH4;CPOL-RADIAL-1000UF-25V;C7, C11, C14;Capacitor Polarized;;RAD FC 330/25;;
1;3R6;R-EU_M1206;M1206;R52;RESISTOR, European symbol;;SMD 1/4W 3,6;;
1;3n3;C-EUC1206;C1206;C31;CAPACITOR, European symbol;;X7R-G1206 3,3N;;
1;43k 0.1%;R-EU_M1206;M1206;R38;RESISTOR, European symbol;;SPR-1206 43,0K;;
4;470R;R-EU_R1206;R1206;R3, R8, R14, R47;RESISTOR, European symbol;;SMD 1/4W 470;;
1;4k7 0.1%;R-EU_R1206;R1206;R17;RESISTOR, European symbol;;SPR-1206 4,70K;;
7;5k6;R-EU_M1206;M1206;R6, R9, R23, R27, R28, R41, R42;RESISTOR, European symbol;;SMD 1/4W 5,6K;;
1;6A;SH22,5;SH22,5;F1;FUSE HOLDER grid 22,5 mm, OGN0031 8201, Schurter (Buerklin);;PL OGN-22,5;;
1;ACS712;ACS712;SO08;IC1;Hall-effect-based isolated linear current sensor;;;;
2;AD8552;OPAMP-DUALU;SO08;IC4, IC5;Generic op-amp footprint;;AD 8552 AR;;
1;ADR392;ADR392;SOT23-5;IC2;http://www.analog.com/media/en/technical-documentation/data-sheets/ADR391_392_395.pdf;1250814 - 62;;;A376911
1;ATMEGA32U4TQFP-44;ATMEGA32U4TQFP-44;TQFP44;IC3;Atmel 44-pin 8-bit Microcontroller with 32KBytes of ISP Flash and USB Controller;;;;A886841
1;AVR_SPI_PROG;AVR_SPI_PROG;AVR_ICSP;ISP;AVR 10-pin ICSP Header;;MPE 087-2-010;;
1;B240F;MBRS130LT3;SMB;D2;Schottky Power Rectifier;;B 240 F;;
3;BAV99;BAV99;SOT23;D4, D5, D6;Small Signal Diode;;BAV 99 SMD;;
3;BC817-40;TRANSISTOR_NPNSOT23-3;SOT23-3;Q1, Q2, Q5;Generic NPN BJT;;BC 817-40 SMD;;
1;DNI;C-EUC1206;C1206;C19;CAPACITOR, European symbol;;-;;
2;DNI;R-EU_M1206;M1206;R29, R30;RESISTOR, European symbol;;-;;
2;DNI;R-EU_R1206;R1206;R11, R48;RESISTOR, European symbol;;-;;
3;DT6;DT6;DT6;S1, S2, S3;ITT SWITCH;;;;D76189
1;IRF7413;IRF7413;SO-08;Q4;N-Channel HEXFETå¨ Power MOSFET;;IRF 7413;;
1;IRF7416;IRF7416;SO-08;Q3;P-Channel HEXFETå¨ Power MOSFET;;IRF 7416;;
1;IRLML6402;MOSFET-PCHANNELSMD;SOT23-3;Q6;Generic PMOSFET;;IRLML 6402;;
2;JUMPER-PAD-2-NO;JUMPER-PAD-2-NO;PAD-JUMPER-2-NO_NO_SILK;SJ2, SJ3;;;-;;
1;JUMPER-PAD-3-2OF3_NC_BY_PASTE;JUMPER-PAD-3-2OF3_NC_BY_PASTE;PAD-JUMPER-3-2OF3_NC_BY_PASTE_YES_SILK_FULL_BOX;SJ1;;;-;;
1;PE;2,54/1,0;2,2;PE;THROUGH-HOLE PAD;;-;;
1;ROTARTY_ENCODER;ROTARTY_ENCODER;ROTARY_ENC_PLAIN;ROT;Simple no LED rotary encoder;;;;W32173
1;SW;SWITCH-MOMENTARY-2PTH;TACTILE-PTH;RESET;Various NO switches- pushbuttons, reed, etc;;TASTER 9302;;
1;TSR_1-2450;TSR_1-2450;TSR-1;U1;TRACO TSR-1 Series;;TSR 1-2450;;
1;USB-B;USBPTH;USB-B-PTH;USB;USB Connectors;;USB BW;USB-B;
1;USBPTH-VERTICAL;USBPTH-VERTICAL;USB-B-PTH-VERTICAL;USB2;USB Connectors;;USB BG;;
2;green;LEDCHIPLED_1206;CHIPLED_1206;+5V_OK, RX_LEX;LED;;SMD-LED 1206 GN;;
